1    15.3735 
2    14.3844 
3    22.7003 
4    41.9997 
5    39.9721 
6    40.1721 
7    81.9027 
8    75.2334 
9    64.6887 
10    101.864 
11    108.451 
12     85.246 
13    167.673 
14    165.052 
15    113.743 
16    212.694 
17    182.709 
18     158.29 
19    264.533 
20    252.001 
21    233.605 
22    445.104 
23    345.223 
24    253.326 
25    505.772 
26    476.935 
27    396.104 
28    677.009 
29    740.265 
30    449.736 
31    935.046 
32    813.284 
33    584.461 
34    1322.23 
35    1307.65 
36    808.065 
37    1857.22 
38    1326.53 
39    930.655 
40    1632.42 
41    1680.54 
42    341.173 
43    330.032 
44    166.868 
45        1.0 
